buah,bulan,icon
Durian,1;2;10;11;12,https://drive.google.com/uc?export=view&id=1d0rqmMCb7rR9rfBkricfwp5qVAymZ79v
Manggis,1;2;11;12,https://drive.google.com/uc?export=view&id=1V3p-hhs1j_tD0w6w34Gumrsl7p1GFRt1
Rambutan,1;2;11;12,https://drive.google.com/uc?export=view&id=1GZL5l9rP1MVXGFgY4JhEUKCKtFrrvo65
Alpukat,1;2;11;12,https://drive.google.com/file/d/1wfKupBGH47wkBoJPtL_4QWPVqm7rt6Er/view?usp=sharing
Sawo,1;2;12,https://drive.google.com/uc?export=view&id=1w3_IzsFqyy7dEJeCXy88Osv_McJ7RGlk
Kedondong,1;2;3,
Salak,1;2;3;4,
Jambu Biji,2;3,https://drive.google.com/uc?export=view&id=1hr5C4DiI58eRk4Fh7dMsc1lpfNvkRZKy
Jeruk Nipis,2;3;4,
Duku,2;3;4,
Jeruk Bali,2;3;4;5;10;11,
Kesemek,5;6;7,
Jeruk Manis,5;6;7;8,https://drive.google.com/uc?export=view&id=1Er8Pe2C1tAq82_9Bwj03gktOqH5s71qG
Belimbing,7;8,
Melon,7;8;9,
Jambu Mete,7;8;9,
Jambu Air,8;9,
Mangga,8;9;10;11,https://drive.google.com/uc?export=view&id=1G5pYVDZJxTptS7trrNpk_VjgC6NpB1a0
Sirsak,3;4;5;6;7;8;9;10;11;12,
Nangka,1;2;3;4;5;6;7;8;9;10;11;12,https://drive.google.com/uc?export=view&id=16UF48eIzEZxpwuEJUxmFIC-BfBNVPpgf
Pepaya,1;2;3;4;5;6;7;8;9;10;11;12,https://drive.google.com/uc?export=view&id=1hXIaHFYyCLI9uIi1FWYiix24BEa7vcGY
Pisang,1;2;3;4;5;6;7;8;9;10;11;12,https://drive.google.com/uc?export=view&id=1DPq9xsSc9Nj5o2GVpXgr_jpUUm5b-YR2